GEOID,Full_Service_Restaurant,Sport_facilities,Parks,Fastfood_Restaurant,Convenience,Supermarket,Warehouse,Fruit,TobaccoStore,DrinkingPlaces
0500000US45001,74375.0,4592.0,20977.0,77593.0,59588.0,28900.0,38099.0,140.0,1652.0,4789.0
0500000US45003,590526.0,50509.0,215367.0,456556.0,240353.0,220885.0,315936.0,1285.0,22070.0,48227.0
0500000US45005,7254.0,412.0,3769.0,10867.0,10680.0,4277.0,6822.0,4.0,80.0,1181.0
0500000US45007,838530.0,166128.0,281526.0,853651.0,323288.0,263036.0,423776.0,6463.0,27859.0,92957.0
0500000US45009,20008.0,2863.0,10066.0,20742.0,11744.0,6043.0,14048.0,32.0,204.0,3380.0
0500000US45011,54867.0,2009.0,34738.0,61351.0,27476.0,22079.0,45350.0,64.0,1042.0,7031.0
0500000US45013,679790.0,218077.0,284872.0,374149.0,110273.0,235165.0,230529.0,2047.0,27012.0,118819.0
0500000US45015,718931.0,120105.0,542490.0,542522.0,178846.0,267118.0,366778.0,3019.0,10132.0,130765.0
0500000US45017,23711.0,3543.0,13439.0,28474.0,16198.0,13663.0,15643.0,76.0,276.0,6797.0
0500000US45019,1474251.0,295616.0,1535259.0,809202.0,255968.0,462032.0,414423.0,4253.0,37379.0,374947.0
0500000US45021,175004.0,18339.0,68119.0,219450.0,112868.0,69135.0,90864.0,7197.0,8798.0,10785.0
0500000US45023,88842.0,5468.0,33928.0,78698.0,47306.0,29917.0,73371.0,196.0,2574.0,10529.0
0500000US45025,100082.0,7067.0,24823.0,95635.0,70742.0,45499.0,80010.0,1627.0,2741.0,6312.0
0500000US45027,70028.0,6164.0,22935.0,93319.0,42033.0,32020.0,55972.0,3451.0,3107.0,15435.0
0500000US45029,77124.0,9263.0,65986.0,79203.0,38642.0,39227.0,58903.0,379.0,1730.0,9212.0
0500000US45031,169444.0,35647.0,69890.0,178013.0,144102.0,66385.0,123170.0,6563.0,3126.0,15666.0
0500000US45033,43624.0,6990.0,14268.0,65497.0,43949.0,39604.0,45567.0,792.0,1657.0,15217.0
0500000US45035,458147.0,97414.0,422963.0,304453.0,112661.0,190280.0,294670.0,820.0,18891.0,100675.0
0500000US45037,69423.0,5643.0,18725.0,60551.0,16430.0,27497.0,38354.0,60.0,2230.0,4099.0
0500000US45039,35088.0,2855.0,11709.0,44348.0,22451.0,21695.0,23240.0,144.0,464.0,3829.0
0500000US45041,486707.0,50156.0,106984.0,473123.0,241927.0,201482.0,275388.0,8612.0,21925.0,64339.0
0500000US45043,205018.0,24728.0,261608.0,161931.0,50246.0,73072.0,91346.0,802.0,9896.0,25143.0
0500000US45045,2293243.0,342330.0,690321.0,2205387.0,543690.0,541486.0,722357.0,40934.0,167954.0,404753.0
0500000US45047,250624.0,13515.0,39947.0,222424.0,161258.0,78100.0,125181.0,521.0,7833.0,21334.0
0500000US45049,28073.0,4484.0,11436.0,30920.0,23274.0,17996.0,18597.0,12.0,781.0,2830.0
0500000US45051,2327711.0,295719.0,1020189.0,1603455.0,506204.0,552987.0,887881.0,16751.0,73417.0,321289.0
0500000US45053,57766.0,18203.0,32637.0,49043.0,19828.0,26235.0,35645.0,104.0,1828.0,8024.0
0500000US45055,273945.0,33667.0,76720.0,211817.0,144888.0,92097.0,127563.0,876.0,4983.0,18477.0
0500000US45057,354881.0,55412.0,86463.0,240436.0,106448.0,151438.0,156397.0,2454.0,25488.0,50744.0
0500000US45059,203545.0,13410.0,36450.0,232847.0,174550.0,63826.0,95885.0,760.0,7558.0,19776.0
0500000US45061,27382.0,3502.0,8200.0,34699.0,18431.0,14692.0,20513.0,303.0,994.0,2282.0
0500000US45063,1135113.0,264123.0,326490.0,1100815.0,433034.0,435906.0,519690.0,3650.0,28465.0,246851.0
0500000US45065,14703.0,907.0,2655.0,12626.0,5904.0,7624.0,8191.0,16.0,352.0,2622.0
0500000US45067,47885.0,4378.0,10630.0,92669.0,37583.0,30617.0,45835.0,692.0,1472.0,9332.0
0500000US45069,27318.0,2628.0,20814.0,37068.0,29378.0,33160.0,32143.0,368.0,4984.0,3385.0
0500000US45071,144318.0,9222.0,24638.0,139979.0,74401.0,37524.0,67207.0,168.0,872.0,20780.0
0500000US45073,236641.0,31494.0,47754.0,244691.0,81857.0,107278.0,118009.0,11199.0,2024.0,21888.0
0500000US45075,127405.0,12451.0,49497.0,156674.0,92201.0,69623.0,89311.0,216.0,1454.0,41965.0
0500000US45077,579330.0,118395.0,125692.0,583293.0,209063.0,152694.0,263202.0,8631.0,15333.0,82255.0
0500000US45079,1185546.0,309158.0,410865.0,1077540.0,338006.0,501730.0,455644.0,5634.0,24992.0,253098.0
0500000US45081,48975.0,3475.0,9478.0,44369.0,41115.0,13929.0,27356.0,64.0,508.0,8499.0
0500000US45083,1200003.0,204023.0,329163.0,1112621.0,525134.0,429164.0,531768.0,7646.0,46585.0,135852.0
0500000US45085,309974.0,29500.0,98975.0,322745.0,121330.0,111509.0,153486.0,925.0,32944.0,31917.0
0500000US45087,96103.0,25693.0,22859.0,96931.0,49988.0,23541.0,63952.0,217.0,1240.0,5431.0
0500000US45089,46907.0,2524.0,36738.0,64854.0,29031.0,29679.0,33673.0,256.0,1971.0,3746.0
0500000US45091,1279566.0,282972.0,548982.0,912128.0,380148.0,345703.0,456111.0,9185.0,58598.0,246081.0
