state_fips,county_fips,B19083_001E:Gini Index
06,047,0.4719
06,043,0.4234
06,049,0.4003
06,013,0.4672
06,027,0.4104
06,099,0.4396
06,083,0.4815
06,103,0.4656
06,051,0.4150
06,069,0.4054
06,067,0.4538
06,017,0.4556
06,053,0.4570
06,075,0.5099
06,073,0.4627
06,107,0.4728
06,023,0.4841
06,003,0.4930
06,039,0.4422
06,087,0.4819
06,105,0.4638
06,065,0.4572
06,071,0.4375
06,041,0.5178
06,061,0.4467
06,089,0.4588
06,095,0.4207
06,011,0.4554
06,021,0.4442
06,007,0.4944
06,031,0.4272
06,063,0.4667
06,079,0.4496
06,019,0.4746
06,029,0.4668
06,059,0.4685
06,111,0.4455
06,009,0.4414
06,101,0.4530
06,081,0.4849
06,109,0.4832
06,077,0.4529
06,005,0.4490
06,033,0.4817
06,115,0.4260
06,035,0.4171
06,097,0.4536
06,025,0.4704
06,001,0.4616
06,055,0.4712
06,091,0.4594
06,113,0.4928
06,057,0.4697
06,045,0.4704
06,037,0.5002
06,085,0.4664
06,093,0.4772
06,015,0.4743
