GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_>=18,percent_Black,percent_Hispanic,Full_Service_Restaurant,Sport_facilities,Parks,Fastfood_Restaurant,Convenience,Supermarket,Warehouse,Fruit,TobaccoStore,DrinkingPlaces
0500000US45001,22.2,45710.0,14.8,2.1,11.6,83.7,79.7,26.87289734963485,1.702633954213506,74375.0,4592.0,20977.0,77593.0,59588.0,28900.0,38099.0,140.0,1652.0,4789.0
0500000US45003,20.2,57572.0,12.5,3.9,9.7,89.3,78.3,24.55532744205421,6.018625963283644,590526.0,50509.0,215367.0,456556.0,240353.0,220885.0,315936.0,1285.0,22070.0,48227.0
0500000US45005,18.1,31800.0,25.4,7.3,11.4,76.2,80.4,73.21772639691714,3.600674373795761,7254.0,412.0,3769.0,10867.0,10680.0,4277.0,6822.0,4.0,80.0,1181.0
0500000US45007,22.0,56796.0,12.9,3.2,10.8,85.8,77.1,15.292523600183957,4.0465228979888535,838530.0,166128.0,281526.0,853651.0,323288.0,263036.0,423776.0,6463.0,27859.0,92957.0
0500000US45009,19.6,44408.0,19.3,4.6,14.7,77.6,80.0,60.08133086876156,2.269870609981516,20008.0,2863.0,10066.0,20742.0,11744.0,6043.0,14048.0,32.0,204.0,3380.0
0500000US45011,20.4,38237.0,25.5,4.3,13.1,81.4,76.1,45.88240949954329,2.658526032402289,54867.0,2009.0,34738.0,61351.0,27476.0,22079.0,45350.0,64.0,1042.0,7031.0
0500000US45013,16.6,74199.0,9.8,2.0,9.6,93.4,81.5,16.724101781115763,11.20441703806846,679790.0,218077.0,284872.0,374149.0,110273.0,235165.0,230529.0,2047.0,27012.0,118819.0
0500000US45015,18.8,70786.0,10.2,2.6,10.5,89.6,76.1,23.27428983212192,7.077213241639459,718931.0,120105.0,542490.0,542522.0,178846.0,267118.0,366778.0,3019.0,10132.0,130765.0
0500000US45017,19.7,52491.0,18.3,2.8,9.4,86.1,80.8,39.71686152979293,3.965347232004508,23711.0,3543.0,13439.0,28474.0,16198.0,13663.0,15643.0,76.0,276.0,6797.0
0500000US45019,19.2,70807.0,11.6,2.4,9.8,92.9,80.3,25.24558830066231,5.307621263081992,1474251.0,295616.0,1535259.0,809202.0,255968.0,462032.0,414423.0,4253.0,37379.0,374947.0
0500000US45021,22.2,41330.0,16.6,4.0,12.1,83.3,76.9,19.717457832182763,4.739876165397481,175004.0,18339.0,68119.0,219450.0,112868.0,69135.0,90864.0,7197.0,8798.0,10785.0
0500000US45023,20.6,46441.0,16.7,3.2,11.3,84.6,77.4,36.99377188361789,2.2371641929786508,88842.0,5468.0,33928.0,78698.0,47306.0,29917.0,73371.0,196.0,2574.0,10529.0
0500000US45025,19.6,45046.0,19.1,4.6,12.1,80.0,77.8,31.04340854426756,4.6340625357920056,100082.0,7067.0,24823.0,95635.0,70742.0,45499.0,80010.0,1627.0,2741.0,6312.0
0500000US45027,18.9,45542.0,18.4,5.2,10.4,79.8,80.7,46.15506279062412,3.2739695694809097,70028.0,6164.0,22935.0,93319.0,42033.0,32020.0,55972.0,3451.0,3107.0,15435.0
0500000US45029,20.4,41419.0,17.0,3.4,14.0,86.0,77.5,35.92159916926272,3.6292834890965735,77124.0,9263.0,65986.0,79203.0,38642.0,39227.0,58903.0,379.0,1730.0,9212.0
0500000US45031,21.4,40704.0,19.2,3.3,8.7,84.8,77.6,41.31130484132864,2.263805905443539,169444.0,35647.0,69890.0,178013.0,144102.0,66385.0,123170.0,6563.0,3126.0,15666.0
0500000US45033,21.2,39780.0,26.1,3.6,13.5,78.7,74.6,47.351631787429454,2.941073369088933,43624.0,6990.0,14268.0,65497.0,43949.0,39604.0,45567.0,792.0,1657.0,15217.0
0500000US45035,20.5,68046.0,10.4,3.5,11.1,90.4,75.5,24.498688974903235,5.875265326507679,458147.0,97414.0,422963.0,304453.0,112661.0,190280.0,294670.0,820.0,18891.0,100675.0
0500000US45037,19.7,55183.0,15.6,3.5,9.0,82.1,82.1,34.050427943557715,6.264939471046341,69423.0,5643.0,18725.0,60551.0,16430.0,27497.0,38354.0,60.0,2230.0,4099.0
0500000US45039,18.7,41755.0,16.5,3.3,7.6,84.5,81.2,56.83470216180496,2.407250070801473,35088.0,2855.0,11709.0,44348.0,22451.0,21695.0,23240.0,144.0,464.0,3829.0
0500000US45041,19.8,51902.0,16.9,2.7,10.3,86.3,76.2,42.74818613595967,2.869401789096419,486707.0,50156.0,106984.0,473123.0,241927.0,201482.0,275388.0,8612.0,21925.0,64339.0
0500000US45043,19.2,55719.0,15.8,3.6,10.8,89.7,82.0,30.4498983997968,3.2004064008128017,205018.0,24728.0,261608.0,161931.0,50246.0,73072.0,91346.0,802.0,9896.0,25143.0
0500000US45045,19.7,65513.0,10.2,2.5,10.4,89.7,76.8,16.930802152633586,9.657959312605696,2293243.0,342330.0,690321.0,2205387.0,543690.0,541486.0,722357.0,40934.0,167954.0,404753.0
0500000US45047,21.0,44513.0,14.5,3.3,8.8,86.0,77.2,31.835357235570683,6.361591046756468,250624.0,13515.0,39947.0,222424.0,161258.0,78100.0,125181.0,521.0,7833.0,21334.0
0500000US45049,19.2,38298.0,18.4,5.6,10.3,81.5,78.3,52.72793467519634,4.311645082436157,28073.0,4484.0,11436.0,30920.0,23274.0,17996.0,18597.0,12.0,781.0,2830.0
0500000US45051,21.0,54688.0,13.9,3.3,14.2,91.1,82.1,12.6046423963,6.205616690589071,2327711.0,295719.0,1020189.0,1603455.0,506204.0,552987.0,887881.0,16751.0,73417.0,321289.0
0500000US45053,18.5,47811.0,15.7,4.2,13.9,88.8,80.1,38.962733138243486,13.792617142051265,57766.0,18203.0,32637.0,49043.0,19828.0,26235.0,35645.0,104.0,1828.0,8024.0
0500000US45055,20.9,56449.0,13.7,3.2,10.1,89.8,76.7,23.196233208696857,4.930065087937958,273945.0,33667.0,76720.0,211817.0,144888.0,92097.0,127563.0,876.0,4983.0,18477.0
0500000US45057,21.0,67407.0,11.9,2.8,8.5,87.9,78.3,19.91590335224452,5.944872323117069,354881.0,55412.0,86463.0,240436.0,106448.0,151438.0,156397.0,2454.0,25488.0,50744.0
0500000US45059,23.4,46754.0,19.5,3.6,13.6,82.1,77.9,22.85697265741348,5.365759218442843,203545.0,13410.0,36450.0,232847.0,174550.0,63826.0,95885.0,760.0,7558.0,19776.0
0500000US45061,18.6,36195.0,20.2,3.7,11.3,82.3,80.7,62.45666467423789,2.55827854154214,27382.0,3502.0,8200.0,34699.0,18431.0,14692.0,20513.0,303.0,994.0,2282.0
0500000US45063,22.4,65623.0,11.2,3.0,9.6,90.4,76.8,14.856559133150284,6.31112390863936,1135113.0,264123.0,326490.0,1100815.0,433034.0,435906.0,519690.0,3650.0,28465.0,246851.0
0500000US45065,17.1,53193.0,15.7,2.6,5.4,83.5,88.4,44.42821368948247,0.8034223706176963,14703.0,907.0,2655.0,12626.0,5904.0,7624.0,8191.0,16.0,352.0,2622.0
0500000US45067,19.1,34465.0,24.1,3.4,13.9,80.4,77.2,56.596248098698666,2.9778604022308603,47885.0,4378.0,10630.0,92669.0,37583.0,30617.0,45835.0,692.0,1472.0,9332.0
0500000US45069,20.1,32136.0,22.4,3.9,13.2,79.7,79.8,49.82164090368609,3.3219381688466108,27318.0,2628.0,20814.0,37068.0,29378.0,33160.0,32143.0,368.0,4984.0,3385.0
0500000US45071,20.6,50950.0,14.2,2.7,9.4,86.2,78.2,30.569208815601712,7.969980445008192,144318.0,9222.0,24638.0,139979.0,74401.0,37524.0,67207.0,168.0,872.0,20780.0
0500000US45073,21.6,52842.0,16.2,3.3,10.3,86.1,80.1,7.007391058871837,5.717805266129447,236641.0,31494.0,47754.0,244691.0,81857.0,107278.0,118009.0,11199.0,2024.0,21888.0
0500000US45075,19.2,38052.0,21.8,5.1,10.6,84.3,77.9,61.597710490054055,2.363707027523584,127405.0,12451.0,49497.0,156674.0,92201.0,69623.0,89311.0,216.0,1454.0,41965.0
0500000US45077,24.5,53188.0,20.5,2.5,9.1,86.6,81.0,6.280040426795868,4.011819437265174,579330.0,118395.0,125692.0,583293.0,209063.0,152694.0,263202.0,8631.0,15333.0,82255.0
0500000US45079,19.8,56137.0,15.9,3.9,9.2,91.8,78.4,46.9006725035506,5.428977211075451,1185546.0,309158.0,410865.0,1077540.0,338006.0,501730.0,455644.0,5634.0,24992.0,253098.0
0500000US45081,20.8,46451.0,18.2,2.3,17.6,81.3,78.1,24.49494949494949,15.646043771043772,48975.0,3475.0,9478.0,44369.0,41115.0,13929.0,27356.0,64.0,508.0,8499.0
0500000US45083,23.1,57627.0,12.7,3.1,10.2,87.5,76.6,20.19116408147084,7.319490559492542,1200003.0,204023.0,329163.0,1112621.0,525134.0,429164.0,531768.0,7646.0,46585.0,135852.0
0500000US45085,19.9,49040.0,15.8,4.6,11.4,88.1,75.8,46.017036679079375,4.205160275543174,309974.0,29500.0,98975.0,322745.0,121330.0,111509.0,153486.0,925.0,32944.0,31917.0
0500000US45087,22.6,40048.0,18.7,4.9,11.2,82.8,78.5,29.748040723650483,1.7505310188237015,96103.0,25693.0,22859.0,96931.0,49988.0,23541.0,63952.0,217.0,1240.0,5431.0
0500000US45089,19.3,40124.0,20.6,2.2,9.8,83.9,79.2,64.13568208702324,2.295469804021868,46907.0,2524.0,36738.0,64854.0,29031.0,29679.0,33673.0,256.0,1971.0,3746.0
0500000US45091,20.6,72234.0,8.4,3.3,8.5,91.6,75.7,18.790970788483165,6.031044694090806,1279566.0,282972.0,548982.0,912128.0,380148.0,345703.0,456111.0,9185.0,58598.0,246081.0
