GEOID,neighbor_GEOID,weight
0500000US45027,0500000US45075,0.16666666666666666
0500000US45027,0500000US45015,0.16666666666666666
0500000US45027,0500000US45017,0.16666666666666666
0500000US45027,0500000US45085,0.16666666666666666
0500000US45027,0500000US45089,0.16666666666666666
0500000US45027,0500000US45041,0.16666666666666666
0500000US45015,0500000US45027,0.16666666666666666
0500000US45015,0500000US45035,0.16666666666666666
0500000US45015,0500000US45043,0.16666666666666666
0500000US45015,0500000US45019,0.16666666666666666
0500000US45015,0500000US45075,0.16666666666666666
0500000US45015,0500000US45089,0.16666666666666666
0500000US45059,0500000US45045,0.14285714285714285
0500000US45059,0500000US45083,0.14285714285714285
0500000US45059,0500000US45071,0.14285714285714285
0500000US45059,0500000US45007,0.14285714285714285
0500000US45059,0500000US45001,0.14285714285714285
0500000US45059,0500000US45047,0.14285714285714285
0500000US45059,0500000US45087,0.14285714285714285
0500000US45035,0500000US45015,0.25
0500000US45035,0500000US45075,0.25
0500000US45035,0500000US45019,0.25
0500000US45035,0500000US45029,0.25
0500000US45043,0500000US45051,0.2
0500000US45043,0500000US45067,0.2
0500000US45043,0500000US45019,0.2
0500000US45043,0500000US45015,0.2
0500000US45043,0500000US45089,0.2
0500000US45031,0500000US45025,0.2
0500000US45031,0500000US45061,0.2
0500000US45031,0500000US45069,0.2
0500000US45031,0500000US45055,0.2
0500000US45031,0500000US45041,0.2
0500000US45073,0500000US45077,0.5
0500000US45073,0500000US45007,0.5
0500000US45003,0500000US45037,0.2
0500000US45003,0500000US45063,0.2
0500000US45003,0500000US45081,0.2
0500000US45003,0500000US45075,0.2
0500000US45003,0500000US45011,0.2
0500000US45009,0500000US45049,0.2
0500000US45009,0500000US45075,0.2
0500000US45009,0500000US45005,0.2
0500000US45009,0500000US45011,0.2
0500000US45009,0500000US45029,0.2
0500000US45079,0500000US45071,0.16666666666666666
0500000US45079,0500000US45063,0.16666666666666666
0500000US45079,0500000US45039,0.16666666666666666
0500000US45079,0500000US45055,0.16666666666666666
0500000US45079,0500000US45017,0.16666666666666666
0500000US45079,0500000US45085,0.16666666666666666
0500000US45021,0500000US45083,0.3333333333333333
0500000US45021,0500000US45091,0.3333333333333333
0500000US45021,0500000US45087,0.3333333333333333
0500000US45005,0500000US45049,0.25
0500000US45005,0500000US45009,0.25
0500000US45005,0500000US45011,0.25
0500000US45005,0500000US45029,0.25
0500000US45017,0500000US45027,0.2
0500000US45017,0500000US45063,0.2
0500000US45017,0500000US45075,0.2
0500000US45017,0500000US45079,0.2
0500000US45017,0500000US45085,0.2
0500000US45057,0500000US45025,0.2
0500000US45057,0500000US45091,0.2
0500000US45057,0500000US45039,0.2
0500000US45057,0500000US45023,0.2
0500000US45057,0500000US45055,0.2
0500000US45051,0500000US45067,0.3333333333333333
0500000US45051,0500000US45033,0.3333333333333333
0500000US45051,0500000US45043,0.3333333333333333
0500000US45053,0500000US45049,0.5
0500000US45053,0500000US45013,0.5
0500000US45049,0500000US45009,0.2
0500000US45049,0500000US45053,0.2
0500000US45049,0500000US45005,0.2
0500000US45049,0500000US45013,0.2
0500000US45049,0500000US45029,0.2
0500000US45091,0500000US45021,0.25
0500000US45091,0500000US45057,0.25
0500000US45091,0500000US45023,0.25
0500000US45091,0500000US45087,0.25
0500000US45071,0500000US45039,0.14285714285714285
0500000US45071,0500000US45081,0.14285714285714285
0500000US45071,0500000US45063,0.14285714285714285
0500000US45071,0500000US45087,0.14285714285714285
0500000US45071,0500000US45059,0.14285714285714285
0500000US45071,0500000US45047,0.14285714285714285
0500000US45071,0500000US45079,0.14285714285714285
0500000US45063,0500000US45071,0.16666666666666666
0500000US45063,0500000US45081,0.16666666666666666
0500000US45063,0500000US45075,0.16666666666666666
0500000US45063,0500000US45017,0.16666666666666666
0500000US45063,0500000US45079,0.16666666666666666
0500000US45063,0500000US45003,0.16666666666666666
0500000US45061,0500000US45085,0.25
0500000US45061,0500000US45041,0.25
0500000US45061,0500000US45031,0.25
0500000US45061,0500000US45055,0.25
0500000US45055,0500000US45025,0.14285714285714285
0500000US45055,0500000US45061,0.14285714285714285
0500000US45055,0500000US45039,0.14285714285714285
0500000US45055,0500000US45057,0.14285714285714285
0500000US45055,0500000US45079,0.14285714285714285
0500000US45055,0500000US45085,0.14285714285714285
0500000US45055,0500000US45031,0.14285714285714285
0500000US45019,0500000US45015,0.25
0500000US45019,0500000US45035,0.25
0500000US45019,0500000US45043,0.25
0500000US45019,0500000US45029,0.25
0500000US45025,0500000US45057,0.25
0500000US45025,0500000US45069,0.25
0500000US45025,0500000US45031,0.25
0500000US45025,0500000US45055,0.25
0500000US45007,0500000US45045,0.2
0500000US45007,0500000US45001,0.2
0500000US45007,0500000US45059,0.2
0500000US45007,0500000US45073,0.2
0500000US45007,0500000US45077,0.2
0500000US45041,0500000US45027,0.125
0500000US45041,0500000US45033,0.125
0500000US45041,0500000US45069,0.125
0500000US45041,0500000US45061,0.125
0500000US45041,0500000US45085,0.125
0500000US45041,0500000US45089,0.125
0500000US45041,0500000US45067,0.125
0500000US45041,0500000US45031,0.125
0500000US45045,0500000US45083,0.2
0500000US45045,0500000US45007,0.2
0500000US45045,0500000US45001,0.2
0500000US45045,0500000US45059,0.2
0500000US45045,0500000US45077,0.2
0500000US45083,0500000US45059,0.25
0500000US45083,0500000US45045,0.25
0500000US45083,0500000US45021,0.25
0500000US45083,0500000US45087,0.25
0500000US45075,0500000US45027,0.1111111111111111
0500000US45075,0500000US45035,0.1111111111111111
0500000US45075,0500000US45017,0.1111111111111111
0500000US45075,0500000US45011,0.1111111111111111
0500000US45075,0500000US45029,0.1111111111111111
0500000US45075,0500000US45009,0.1111111111111111
0500000US45075,0500000US45063,0.1111111111111111
0500000US45075,0500000US45015,0.1111111111111111
0500000US45075,0500000US45003,0.1111111111111111
0500000US45085,0500000US45027,0.16666666666666666
0500000US45085,0500000US45061,0.16666666666666666
0500000US45085,0500000US45055,0.16666666666666666
0500000US45085,0500000US45017,0.16666666666666666
0500000US45085,0500000US45079,0.16666666666666666
0500000US45085,0500000US45041,0.16666666666666666
0500000US45067,0500000US45033,0.2
0500000US45067,0500000US45051,0.2
0500000US45067,0500000US45043,0.2
0500000US45067,0500000US45041,0.2
0500000US45067,0500000US45089,0.2
0500000US45047,0500000US45071,0.16666666666666666
0500000US45047,0500000US45037,0.16666666666666666
0500000US45047,0500000US45081,0.16666666666666666
0500000US45047,0500000US45001,0.16666666666666666
0500000US45047,0500000US45059,0.16666666666666666
0500000US45047,0500000US45065,0.16666666666666666
0500000US45087,0500000US45083,0.14285714285714285
0500000US45087,0500000US45091,0.14285714285714285
0500000US45087,0500000US45071,0.14285714285714285
0500000US45087,0500000US45039,0.14285714285714285
0500000US45087,0500000US45023,0.14285714285714285
0500000US45087,0500000US45021,0.14285714285714285
0500000US45087,0500000US45059,0.14285714285714285
0500000US45029,0500000US45049,0.14285714285714285
0500000US45029,0500000US45009,0.14285714285714285
0500000US45029,0500000US45035,0.14285714285714285
0500000US45029,0500000US45005,0.14285714285714285
0500000US45029,0500000US45019,0.14285714285714285
0500000US45029,0500000US45075,0.14285714285714285
0500000US45029,0500000US45013,0.14285714285714285
0500000US45065,0500000US45047,0.3333333333333333
0500000US45065,0500000US45037,0.3333333333333333
0500000US45065,0500000US45001,0.3333333333333333
0500000US45069,0500000US45025,0.25
0500000US45069,0500000US45033,0.25
0500000US45069,0500000US45041,0.25
0500000US45069,0500000US45031,0.25
0500000US45001,0500000US45045,0.2
0500000US45001,0500000US45007,0.2
0500000US45001,0500000US45059,0.2
0500000US45001,0500000US45047,0.2
0500000US45001,0500000US45065,0.2
0500000US45033,0500000US45067,0.25
0500000US45033,0500000US45069,0.25
0500000US45033,0500000US45041,0.25
0500000US45033,0500000US45051,0.25
0500000US45023,0500000US45057,0.25
0500000US45023,0500000US45091,0.25
0500000US45023,0500000US45039,0.25
0500000US45023,0500000US45087,0.25
0500000US45077,0500000US45045,0.3333333333333333
0500000US45077,0500000US45073,0.3333333333333333
0500000US45077,0500000US45007,0.3333333333333333
0500000US45039,0500000US45071,0.16666666666666666
0500000US45039,0500000US45023,0.16666666666666666
0500000US45039,0500000US45055,0.16666666666666666
0500000US45039,0500000US45057,0.16666666666666666
0500000US45039,0500000US45079,0.16666666666666666
0500000US45039,0500000US45087,0.16666666666666666
0500000US45011,0500000US45009,0.25
0500000US45011,0500000US45075,0.25
0500000US45011,0500000US45005,0.25
0500000US45011,0500000US45003,0.25
0500000US45081,0500000US45071,0.2
0500000US45081,0500000US45037,0.2
0500000US45081,0500000US45063,0.2
0500000US45081,0500000US45047,0.2
0500000US45081,0500000US45003,0.2
0500000US45037,0500000US45047,0.25
0500000US45037,0500000US45003,0.25
0500000US45037,0500000US45081,0.25
0500000US45037,0500000US45065,0.25
0500000US45089,0500000US45027,0.2
0500000US45089,0500000US45043,0.2
0500000US45089,0500000US45067,0.2
0500000US45089,0500000US45015,0.2
0500000US45089,0500000US45041,0.2
0500000US45013,0500000US45049,0.3333333333333333
0500000US45013,0500000US45053,0.3333333333333333
0500000US45013,0500000US45029,0.3333333333333333
