variable,effect,estimate,bootstrap_mean,ci_low,ci_high,n_complete_cases,n_bootstrap,seed,ci_method
Med_income,ACME,2.8722315564932814e-05,2.534710471422678e-05,-3.871669743392984e-05,9.065837814632686e-05,46,5000,12345,percentile
Med_income,ADE,-9.958692944757646e-05,-9.708683695138118e-05,-0.00018161995071736014,-1.763306028816572e-05,46,5000,12345,percentile
Med_income,Total,-7.086461388264364e-05,-7.17397322371544e-05,-0.00013055236705057386,-1.6504783110345298e-05,46,5000,12345,percentile
percent_Poverty,ACME,0.0157892650971618,0.011975883787373522,-0.03191996114627783,0.06344133958159631,46,5000,12345,percentile
percent_Poverty,ADE,0.05021975313472332,0.051788384578193083,-0.12553208824493814,0.22828766551428045,46,5000,12345,percentile
percent_Poverty,Total,0.06600901823188512,0.06376426836556662,-0.11160225513358302,0.23081479374273253,46,5000,12345,percentile
percent_Unemployed,ACME,0.05964913745154811,0.05446417799146293,-0.08906889252844943,0.2372299558763522,46,5000,12345,percentile
percent_Unemployed,ADE,-0.13913649319631638,-0.1339011082096278,-0.4674752588653711,0.21173915642616395,46,5000,12345,percentile
percent_Unemployed,Total,-0.07948735574476827,-0.0794369302181649,-0.3590488479264497,0.2128062128832213,46,5000,12345,percentile
percent_Uninsured,ACME,0.050428690578288075,0.046191179802103646,-0.060735001778152074,0.17063941252925804,46,5000,12345,percentile
percent_Uninsured,ADE,-0.11009044002640295,-0.12454978136159953,-0.35083845977394273,0.0869184682191471,46,5000,12345,percentile
percent_Uninsured,Total,-0.05966174944811487,-0.0783586015594959,-0.28974769924181204,0.0933708205262524,46,5000,12345,percentile
percent_>=HighSch,ACME,0.061313683834167874,0.05186026431073389,-0.09146419311496687,0.18588199162475305,46,5000,12345,percentile
percent_>=HighSch,ADE,-0.08117176932638859,-0.06873951819020008,-0.23295144721249733,0.12737945515777677,46,5000,12345,percentile
percent_>=HighSch,Total,-0.019858085492220713,-0.016879253879466177,-0.14798474936685568,0.12346714119960234,46,5000,12345,percentile
