category,term,estimate,std_err,z,p_value
coefficient,CONSTANT,58.411955066529345,11.917606079929394,4.901316143088647,9.519671696881055e-07
coefficient,Med_income,-9.633172785577203e-05,3.7147490756439544e-05,-2.5932230116800783,0.009508109400923358
coefficient,percent_Poverty,0.03801344179357413,0.06271739985695785,0.6061067882321804,0.5444438436008183
coefficient,percent_Unemployed,-0.1129639237560518,0.1532283384627963,-0.7372260568072357,0.4609848901630863
coefficient,percent_Uninsured,-0.12785191717234046,0.09262138136976379,-1.3803715220131414,0.1674722837968018
coefficient,percent_>=HighSch,-0.07418646333801937,0.0764553723767166,-0.9703237461519684,0.33188514447859785
coefficient,mobility_PC1,-0.1354727576226118,0.21238975229663618,-0.6378497839829977,0.523571468779759
coefficient,percent_>=18,-0.27210915834565963,0.06063476511536277,-4.4876756400053495,7.20044436319977e-06
coefficient,percent_Black,-0.10917180560982409,0.010192101243590383,-10.711412985470503,8.997787487166083e-27
coefficient,percent_Hispanic,-0.11541303280259996,0.0500907982031104,-2.3040765358662894,0.021218347640402754
coefficient,lambda,-0.2855481489441874,0.2376030800923164,-1.2017863944913627,0.22944629810798067
model_fit,n,46,,,
model_fit,k,10,,,
model_fit,log_likelihood,-54.58391756956071,,,
model_fit,aic,129.16783513912142,,,
model_fit,bic_schwarz,147.45424910401238,,,
model_fit,pseudo_r2,0.7352404143045579,,,
model_fit,sigma2,[[0.61828934]],,,
model_fit,lambda,-0.2855481489441874,,,
