GEOID,pm25_mean_2019,pm25_site_count_2019
06001,7.3315405,6
06009,5.460947,1
06011,7.022951,1
06013,7.326542,2
06019,9.731806875,8
06023,6.78785,1
06025,9.029605666666667,3
06027,4.243085,7
06029,9.849549666666666,6
06031,12.174762999999999,3
06033,3.141667,1
06037,9.979032842105264,19
06039,9.272492,2
06041,6.38017,1
06045,5.6498235,2
06047,9.3670565,2
06051,5.47346375,4
06053,4.751291999999999,4
06055,5.923099,1
06057,5.265352,3
06059,8.534073,3
06061,6.658439333333334,3
06063,9.363595,2
06065,9.510955300000001,10
06067,7.0916446,5
06069,4.918258,1
06071,10.8812986,5
06073,9.4527065,6
06075,7.667409,1
06077,9.217078,2
06079,5.641006,4
06081,7.061159,1
06083,5.319865,4
06085,7.5488012499999995,4
06087,5.608498,2
06089,6.628302,1
06093,5.822253333333333,3
06095,8.7149445,2
06097,5.678134,1
06099,8.972330333333334,3
06101,8.450142,1
06103,5.429462,1
06107,12.897345,1
06111,6.647828333333334,6
