GEOID,Metro2013,Nonmetro2013,RuralUrbanContinuumCode2013
06001,1,0,1
06003,0,1,8
06005,0,1,6
06007,1,0,3
06009,0,1,6
06011,0,1,6
06013,1,0,1
06015,0,1,7
06017,1,0,1
06019,1,0,2
06021,0,1,6
06023,0,1,5
06025,1,0,3
06027,0,1,7
06029,1,0,2
06031,1,0,3
06033,0,1,4
06035,0,1,7
06037,1,0,1
06039,1,0,3
06041,1,0,1
06043,0,1,8
06045,0,1,4
06047,1,0,2
06049,0,1,6
06051,0,1,7
06053,1,0,2
06055,1,0,3
06057,0,1,4
06059,1,0,1
06061,1,0,1
06063,0,1,7
06065,1,0,1
06067,1,0,1
06069,1,0,1
06071,1,0,1
06073,1,0,1
06075,1,0,1
06077,1,0,2
06079,1,0,2
06081,1,0,1
06083,1,0,2
06085,1,0,1
06087,1,0,2
06089,1,0,3
06091,0,1,8
06093,0,1,6
06095,1,0,2
06097,1,0,2
06099,1,0,2
06101,1,0,3
06103,0,1,4
06105,0,1,8
06107,1,0,2
06109,0,1,4
06111,1,0,2
06113,1,0,1
06115,1,0,3
